//This file was created and edited by Kyrylo Glamazdin

//This is the file containing the names of each station in the 
//MTA New York City Transit System,
//followed by the names of the trains that stop at the corresponding station.
//For the purposes of this program, the lines of this file cannot be duplicated.

//Clarifications:

New Lots Av: 3
Van Siclen Av: 3
Pennsylvania Av: 3
Junius St: 3
Rockaway Av: 3
Saratoga Av: 3
Sutter Av - Rutland Rd: 3
Crown Heights - Utica Av: 3,4
Kingston Av: 3
Nostrand Av: 3
145 St: 3
Harlem - 148 St: 3

//4 line

Bowling Green: 4,5
Wall St: 4,5
Brooklyn Bridge - City Hall: 4,5,6
86 St: 4,5,6
125 St: 4,5,6
138 St - Grand Concourse: 4,5
167 St: 4
170 St: 4
Mt Eden Av: 4
176 St: 4
Burnside Av: 4
183 St: 4
Fordham Rd: 4
Kingsbridge Rd: 4
Bedford Park Blvd - Lehman College: 4
Mosholu Pkwy: 4
Woodlawn: 4

//5 line

Morris Park: 5
Pelham Pkwy: 5
Gun Hill Rd: 5
Baychester Av: 5
Eastchester - Dyre Av: 5

//6 line

Spring St: 6
Bleeker St: 6
Astor Pl: 6
23 St: 6
28 St: 6
33 St: 6
51 St: 6
68 St - Hunter College: 6
77 St: 6
96 St: 6
103 St: 6
110 St: 6
116 St: 6
3 Av - 138 St: 6
Brook Av: 6
Cypress Av: 6
East 143 St - St Mary's St: 6
East 149 St: 6
Longwood Av: 6
Hunts Point Av: 6
Whitlock Av: 6
Elder Av: 6
Morrison Av - Soundview: 6
St Lawrence Av: 6
Parkchester: 6
Castle Hill Av: 6
Zerega Av: 6
Westchester Sq - East Tremont Av: 6
Middletown Rd: 6
Buhre Av: 6
Pelham Bay Park: 6

//7 line

34 St - Hudson Yards: 7
5 Av: 7
Vernon Blvd - Jackson Av: 7
Hunters Point Av: 7
33 St - Rawson St: 7
40 St - Lowery St: 7
46 St - Bliss St: 7
52 St: 7
61 St - Woodside: 7
69 St: 7
74 St - Broadway: 7
82 St - Jackson Hts: 7
90 St - Elmhurst Av: 7
Junction Blvd: 7
103 St - Corona Plaza: 7
111 St: 7
Mets - Willets Point: 7
Flushing - Main St: 7

//SIR

St. George: SIR
Tompkinsville: SIR
Stapleton: SIR
Clifton: SIR
Grasmere: SIR
Old Town: SIR
Dongan Hills: SIR
Jefferson Av: SIR
Grant City: SIR
New Dorp: SIR
Oakwood Heights: SIR
Bay Terrace: SIR
Great Kills: SIR
Eltingville: SIR
Annadale: SIR
Huguenot: SIR
Prince's Bay: SIR
Pleasant Plains: SIR
Richmond Valley: SIR
Arthur Kill: SIR
Tottenville: SIR
